iter	Logloss
0	0.6287932314
1	0.5756717705
2	0.5289858157
3	0.4906781089
4	0.4578297556
5	0.42823777
6	0.4040328921
7	0.3826794193
8	0.3637698855
9	0.3465844795
10	0.3321006063
11	0.3180659716
12	0.305753116
13	0.2954700238
14	0.2858019405
15	0.2776501513
16	0.2711211955
17	0.2643765805
18	0.2581018207
19	0.2518307166
20	0.2465869213
21	0.2419834071
22	0.2384063599
23	0.2344861254
24	0.231029004
25	0.2282455874
26	0.2246765421
27	0.2215482411
28	0.2196885508
29	0.2173370414
30	0.2152590506
31	0.2135292328
32	0.2117873559
33	0.2099301648
34	0.2084732083
35	0.2064152012
36	0.2049713501
37	0.2039923119
38	0.2028821123
39	0.2015197517
40	0.2006963326
41	0.1995324179
42	0.1985039433
43	0.1976330384
44	0.1960148192
45	0.1949358443
46	0.1944299886
47	0.1936892142
48	0.1926220719
49	0.192015972
50	0.1914967683
51	0.1910001183
52	0.1903291778
53	0.1896369402
54	0.1893959034
55	0.1890383987
56	0.1887603846
57	0.1884426104
58	0.1879783817
59	0.1877103396
60	0.187509259
61	0.1868446101
62	0.1863528962
63	0.1860623489
64	0.1856925327
65	0.1853658314
66	0.1851434999
67	0.1848931307
68	0.1843802083
69	0.1838925133
70	0.1837088902
71	0.1836010354
72	0.1830699681
73	0.1828912989
74	0.1826302314
75	0.1823943296
76	0.1821647014
77	0.1820673781
78	0.1818974053
79	0.1817081493
80	0.1815102519
81	0.1813929825
82	0.1811881003
83	0.1809859377
84	0.1805587483
85	0.1801965212
86	0.179947266
87	0.1796768616
88	0.1793175825
89	0.1790885738
90	0.1788540391
91	0.1786563583
92	0.1784288555
93	0.1782148092
94	0.177995738
95	0.177828063
96	0.1776135797
97	0.1775047965
98	0.1773517941
99	0.1772016722
