iter	Passed	Remaining
0	153	15187
1	161	7897
2	169	5494
3	176	4227
4	182	3472
5	188	2960
6	196	2612
7	203	2342
8	210	2124
9	216	1945
10	221	1789
11	226	1662
12	231	1548
13	235	1444
14	238	1352
15	243	1276
16	246	1201
17	248	1133
18	251	1073
19	254	1018
20	257	968
21	260	922
22	262	879
23	265	840
24	267	803
25	271	771
26	275	743
27	279	718
28	282	691
29	288	673
30	292	650
31	295	628
32	299	607
33	303	588
34	306	569
35	310	552
36	314	534
37	318	519
38	322	504
39	327	491
40	331	476
41	334	462
42	337	447
43	341	434
44	344	421
45	348	408
46	351	396
47	355	384
48	358	372
49	361	361
50	364	350
51	368	340
52	372	330
53	376	320
54	379	310
55	383	300
56	390	294
57	396	286
58	403	280
59	409	272
60	413	264
61	420	257
62	426	250
63	431	242
64	434	234
65	437	225
66	442	217
67	450	212
68	454	204
69	456	195
70	459	187
71	462	179
72	465	172
73	468	164
74	471	157
75	473	149
76	476	142
77	479	135
78	481	128
79	484	121
80	486	114
81	489	107
82	491	100
83	494	94
84	497	87
85	499	81
86	502	75
87	504	68
88	507	62
89	511	56
90	514	50
91	516	44
92	519	39
93	522	33
94	525	27
95	528	22
96	531	16
97	534	10
98	536	5
99	539	0
